Store,Date,Fuel_Price
1,2010-02-05,2.572
1,2010-02-12,2.548
1,2010-02-19,2.514
1,2010-02-26,2.561
1,2010-03-05,2.625
1,2010-03-12,2.667
1,2010-03-19,2.72
1,2010-03-26,2.732
1,2010-04-02,2.719
1,2010-04-09,2.77
1,2010-04-16,2.808
1,2010-04-23,2.795
1,2010-04-30,2.78
1,2010-05-07,2.835
1,2010-05-14,2.854
1,2010-05-21,2.826
1,2010-05-28,2.759
1,2010-06-04,2.705
1,2010-06-11,2.668
1,2010-06-18,2.637
1,2010-06-25,2.653
1,2010-07-02,2.669
1,2010-07-09,2.642
1,2010-07-16,2.623
1,2010-07-23,2.608
1,2010-07-30,2.64
1,2010-08-06,2.627
1,2010-08-13,2.692
1,2010-08-20,2.664
1,2010-08-27,2.619
1,2010-09-03,2.577
1,2010-09-10,2.565
1,2010-09-17,2.582
1,2010-09-24,2.624
1,2010-10-01,2.603
1,2010-10-08,2.633
1,2010-10-15,2.72
1,2010-10-22,2.725
1,2010-10-29,2.716
1,2010-11-05,2.689
1,2010-11-12,2.728
1,2010-11-19,2.771
1,2010-11-26,2.735
1,2010-12-03,2.708
1,2010-12-10,2.843
1,2010-12-17,2.869
1,2010-12-24,2.886
1,2010-12-31,2.943
1,2011-01-07,2.976
1,2011-01-14,2.983
1,2011-01-21,3.016
1,2011-01-28,3.01
1,2011-02-04,2.989
1,2011-02-11,3.022
1,2011-02-18,3.045
1,2011-02-25,3.065
1,2011-03-04,3.288
1,2011-03-11,3.459
1,2011-03-18,3.488
1,2011-03-25,3.473
1,2011-04-01,3.524
1,2011-04-08,3.622
1,2011-04-15,3.743
1,2011-04-22,3.807
1,2011-04-29,3.81
1,2011-05-06,3.906
1,2011-05-13,3.899
1,2011-05-20,3.907
1,2011-05-27,3.786
1,2011-06-03,3.699
1,2011-06-10,3.648
1,2011-06-17,3.637
1,2011-06-24,3.594
1,2011-07-01,3.524
1,2011-07-08,3.48
1,2011-07-15,3.575
1,2011-07-22,3.651
1,2011-07-29,3.682
1,2011-08-05,3.684
1,2011-08-12,3.638
1,2011-08-19,3.554
1,2011-08-26,3.523
1,2011-09-02,3.533
1,2011-09-09,3.546
1,2011-09-16,3.526
1,2011-09-23,3.467
1,2011-09-30,3.355
1,2011-10-07,3.285
1,2011-10-14,3.274
1,2011-10-21,3.353
1,2011-10-28,3.372
1,2011-11-04,3.332
1,2011-11-11,3.297
1,2011-11-18,3.308
1,2011-11-25,3.236
1,2011-12-02,3.172
1,2011-12-09,3.158
1,2011-12-16,3.159
1,2011-12-23,3.112
1,2011-12-30,3.129
1,2012-01-06,3.157
1,2012-01-13,3.261
1,2012-01-20,3.268
1,2012-01-27,3.29
1,2012-02-03,3.36
1,2012-02-10,3.409
1,2012-02-17,3.51
1,2012-02-24,3.555
1,2012-03-02,3.63
1,2012-03-09,3.669
1,2012-03-16,3.734
1,2012-03-23,3.787
1,2012-03-30,3.845
1,2012-04-06,3.891
1,2012-04-13,3.891
1,2012-04-20,3.877
1,2012-04-27,3.814
1,2012-05-04,3.749
1,2012-05-11,3.688
1,2012-05-18,3.63
1,2012-05-25,3.561
1,2012-06-01,3.501
1,2012-06-08,3.452
1,2012-06-15,3.393
1,2012-06-22,3.346
1,2012-06-29,3.286
1,2012-07-06,3.227
1,2012-07-13,3.256
1,2012-07-20,3.311
1,2012-07-27,3.407
1,2012-08-03,3.417
1,2012-08-10,3.494
1,2012-08-17,3.571
1,2012-08-24,3.62
1,2012-08-31,3.638
1,2012-09-07,3.73
1,2012-09-14,3.717
1,2012-09-21,3.721
1,2012-09-28,3.666
1,2012-10-05,3.617
1,2012-10-12,3.601
1,2012-10-19,3.594
1,2012-10-26,3.506
1,2012-11-02,3.386
1,2012-11-09,3.314
1,2012-11-16,3.252
1,2012-11-23,3.211
1,2012-11-30,3.207
1,2012-12-07,3.198
1,2012-12-14,3.168
1,2012-12-21,3.098
1,2012-12-28,3.108
1,2013-01-04,3.161
1,2013-01-11,3.243
1,2013-01-18,3.237
1,2013-01-25,3.227
1,2013-02-01,3.244
1,2013-02-08,3.417
1,2013-02-15,3.475
1,2013-02-22,3.597
1,2013-03-01,3.711
1,2013-03-08,3.658
1,2013-03-15,3.622
1,2013-03-22,3.611
1,2013-03-29,3.606
1,2013-04-05,3.583
1,2013-04-12,3.529
1,2013-04-19,3.451
1,2013-04-26,3.417
1,2013-05-03,3.386
1,2013-05-10,3.392
1,2013-05-17,3.454
1,2013-05-24,3.494
1,2013-05-31,3.466
1,2013-06-07,3.439
1,2013-06-14,3.431
1,2013-06-21,3.479
1,2013-06-28,3.495
1,2013-07-05,3.422
1,2013-07-12,3.4
1,2013-07-19,3.556
1,2013-07-26,3.62
2,2010-02-05,2.572
2,2010-02-12,2.548
2,2010-02-19,2.514
2,2010-02-26,2.561
2,2010-03-05,2.625
2,2010-03-12,2.667
2,2010-03-19,2.72
2,2010-03-26,2.732
2,2010-04-02,2.719
2,2010-04-09,2.77
2,2010-04-16,2.808
2,2010-04-23,2.795
2,2010-04-30,2.78
2,2010-05-07,2.835
2,2010-05-14,2.854
2,2010-05-21,2.826
2,2010-05-28,2.759
2,2010-06-04,2.705
2,2010-06-11,2.668
2,2010-06-18,2.637
2,2010-06-25,2.653
2,2010-07-02,2.669
2,2010-07-09,2.642
2,2010-07-16,2.623
2,2010-07-23,2.608
2,2010-07-30,2.64
2,2010-08-06,2.627
2,2010-08-13,2.692
2,2010-08-20,2.664
2,2010-08-27,2.619
2,2010-09-03,2.577
2,2010-09-10,2.565
2,2010-09-17,2.582
2,2010-09-24,2.624
2,2010-10-01,2.603
2,2010-10-08,2.633
2,2010-10-15,2.72
2,2010-10-22,2.725
2,2010-10-29,2.716
2,2010-11-05,2.689
2,2010-11-12,2.728
2,2010-11-19,2.771
2,2010-11-26,2.735
2,2010-12-03,2.708
2,2010-12-10,2.843
2,2010-12-17,2.869
2,2010-12-24,2.886
2,2010-12-31,2.943
2,2011-01-07,2.976
2,2011-01-14,2.983
2,2011-01-21,3.016
2,2011-01-28,3.01
2,2011-02-04,2.989
2,2011-02-11,3.022
2,2011-02-18,3.045
2,2011-02-25,3.065
2,2011-03-04,3.288
2,2011-03-11,3.459
2,2011-03-18,3.488
2,2011-03-25,3.473
2,2011-04-01,3.524
2,2011-04-08,3.622
2,2011-04-15,3.743
2,2011-04-22,3.807
2,2011-04-29,3.81
2,2011-05-06,3.906
2,2011-05-13,3.899
2,2011-05-20,3.907
2,2011-05-27,3.786
2,2011-06-03,3.699
2,2011-06-10,3.648
2,2011-06-17,3.637
2,2011-06-24,3.594
2,2011-07-01,3.524
2,2011-07-08,3.48
2,2011-07-15,3.575
2,2011-07-22,3.651
2,2011-07-29,3.682
2,2011-08-05,3.684
2,2011-08-12,3.638
2,2011-08-19,3.554
2,2011-08-26,3.523
2,2011-09-02,3.533
2,2011-09-09,3.546
2,2011-09-16,3.526
2,2011-09-23,3.467
2,2011-09-30,3.355
2,2011-10-07,3.285
2,2011-10-14,3.274
2,2011-10-21,3.353
2,2011-10-28,3.372
2,2011-11-04,3.332
2,2011-11-11,3.297
2,2011-11-18,3.308
2,2011-11-25,3.236
2,2011-12-02,3.172
2,2011-12-09,3.158
2,2011-12-16,3.159
2,2011-12-23,3.112
2,2011-12-30,3.129
2,2012-01-06,3.157
2,2012-01-13,3.261
2,2012-01-20,3.268
2,2012-01-27,3.29
2,2012-02-03,3.36
2,2012-02-10,3.409
2,2012-02-17,3.51
2,2012-02-24,3.555
2,2012-03-02,3.63
2,2012-03-09,3.669
2,2012-03-16,3.734
2,2012-03-23,3.787
2,2012-03-30,3.845
2,2012-04-06,3.891
2,2012-04-13,3.891
2,2012-04-20,3.877
2,2012-04-27,3.814
2,2012-05-04,3.749
2,2012-05-11,3.688
2,2012-05-18,3.63
2,2012-05-25,3.561
2,2012-06-01,3.501
2,2012-06-08,3.452
2,2012-06-15,3.393
2,2012-06-22,3.346
2,2012-06-29,3.286
2,2012-07-06,3.227
2,2012-07-13,3.256
2,2012-07-20,3.311
2,2012-07-27,3.407
2,2012-08-03,3.417
2,2012-08-10,3.494
2,2012-08-17,3.571
2,2012-08-24,3.62
2,2012-08-31,3.638
2,2012-09-07,3.73
2,2012-09-14,3.717
2,2012-09-21,3.721
2,2012-09-28,3.666
2,2012-10-05,3.617
2,2012-10-12,3.601
2,2012-10-19,3.594
2,2012-10-26,3.506
2,2012-11-02,3.386
2,2012-11-09,3.314
2,2012-11-16,3.252
2,2012-11-23,3.211
2,2012-11-30,3.207
2,2012-12-07,3.198
2,2012-12-14,3.168
2,2012-12-21,3.098
2,2012-12-28,3.108
2,2013-01-04,3.161
2,2013-01-11,3.243
2,2013-01-18,3.237
2,2013-01-25,3.227
2,2013-02-01,3.244
2,2013-02-08,3.417
2,2013-02-15,3.475
2,2013-02-22,3.597
2,2013-03-01,3.711
2,2013-03-08,3.658
2,2013-03-15,3.622
2,2013-03-22,3.611
2,2013-03-29,3.606
2,2013-04-05,3.583
2,2013-04-12,3.529
2,2013-04-19,3.451
2,2013-04-26,3.417
2,2013-05-03,3.386
2,2013-05-10,3.392
2,2013-05-17,3.454
2,2013-05-24,3.494
2,2013-05-31,3.466
2,2013-06-07,3.439
2,2013-06-14,3.431
2,2013-06-21,3.479
2,2013-06-28,3.495
2,2013-07-05,3.422
2,2013-07-12,3.4
2,2013-07-19,3.556
2,2013-07-26,3.62
3,2010-02-05,2.572
3,2010-02-12,2.548
3,2010-02-19,2.514
3,2010-02-26,2.561
3,2010-03-05,2.625
3,2010-03-12,2.667
3,2010-03-19,2.72
3,2010-03-26,2.732
3,2010-04-02,2.719
3,2010-04-09,2.77
3,2010-04-16,2.808
3,2010-04-23,2.795
3,2010-04-30,2.78
3,2010-05-07,2.835
3,2010-05-14,2.854
3,2010-05-21,2.826
3,2010-05-28,2.759
3,2010-06-04,2.705
3,2010-06-11,2.668
3,2010-06-18,2.637
3,2010-06-25,2.653
3,2010-07-02,2.669
3,2010-07-09,2.642
3,2010-07-16,2.623
3,2010-07-23,2.608
3,2010-07-30,2.64
3,2010-08-06,2.627
3,2010-08-13,2.692
3,2010-08-20,2.664
3,2010-08-27,2.619
3,2010-09-03,2.577
3,2010-09-10,2.565
3,2010-09-17,2.582
3,2010-09-24,2.624
3,2010-10-01,2.603
3,2010-10-08,2.633
3,2010-10-15,2.72
3,2010-10-22,2.725
3,2010-10-29,2.716
3,2010-11-05,2.689
3,2010-11-12,2.728
3,2010-11-19,2.771
3,2010-11-26,2.735
3,2010-12-03,2.708
3,2010-12-10,2.843
3,2010-12-17,2.869
3,2010-12-24,2.886
3,2010-12-31,2.943
3,2011-01-07,2.976
3,2011-01-14,2.983
3,2011-01-21,3.016
3,2011-01-28,3.01
3,2011-02-04,2.989
3,2011-02-11,3.022
3,2011-02-18,3.045
3,2011-02-25,3.065
3,2011-03-04,3.288
3,2011-03-11,3.459
3,2011-03-18,3.488
3,2011-03-25,3.473
3,2011-04-01,3.524
3,2011-04-08,3.622
3,2011-04-15,3.743
3,2011-04-22,3.807
3,2011-04-29,3.81
3,2011-05-06,3.906
3,2011-05-13,3.899
3,2011-05-20,3.907
3,2011-05-27,3.786
3,2011-06-03,3.699
3,2011-06-10,3.648
3,2011-06-17,3.637
3,2011-06-24,3.594
3,2011-07-01,3.524
3,2011-07-08,3.48
3,2011-07-15,3.575
3,2011-07-22,3.651
3,2011-07-29,3.682
3,2011-08-05,3.684
3,2011-08-12,3.638
3,2011-08-19,3.554
3,2011-08-26,3.523
3,2011-09-02,3.533
3,2011-09-09,3.546
3,2011-09-16,3.526
3,2011-09-23,3.467
3,2011-09-30,3.355
3,2011-10-07,3.285
3,2011-10-14,3.274
3,2011-10-21,3.353
3,2011-10-28,3.372
3,2011-11-04,3.332
3,2011-11-11,3.297
3,2011-11-18,3.308
3,2011-11-25,3.236
3,2011-12-02,3.172
3,2011-12-09,3.158
3,2011-12-16,3.159
3,2011-12-23,3.112
3,2011-12-30,3.129
3,2012-01-06,3.157
3,2012-01-13,3.261
3,2012-01-20,3.268
3,2012-01-27,3.29
3,2012-02-03,3.36
3,2012-02-10,3.409
3,2012-02-17,3.51
3,2012-02-24,3.555
3,2012-03-02,3.63
3,2012-03-09,3.669
3,2012-03-16,3.734
3,2012-03-23,3.787
3,2012-03-30,3.845
3,2012-04-06,3.891
3,2012-04-13,3.891
3,2012-04-20,3.877
3,2012-04-27,3.814
3,2012-05-04,3.749
3,2012-05-11,3.688
3,2012-05-18,3.63
3,2012-05-25,3.561
3,2012-06-01,3.501
3,2012-06-08,3.452
3,2012-06-15,3.393
3,2012-06-22,3.346
3,2012-06-29,3.286
3,2012-07-06,3.227
3,2012-07-13,3.256
3,2012-07-20,3.311
3,2012-07-27,3.407
3,2012-08-03,3.417
3,2012-08-10,3.494
3,2012-08-17,3.571
3,2012-08-24,3.62
3,2012-08-31,3.638
3,2012-09-07,3.73
3,2012-09-14,3.717
3,2012-09-21,3.721
3,2012-09-28,3.666
3,2012-10-05,3.617
3,2012-10-12,3.601
3,2012-10-19,3.594
3,2012-10-26,3.506
3,2012-11-02,3.386
3,2012-11-09,3.314
3,2012-11-16,3.252
3,2012-11-23,3.211
3,2012-11-30,3.207
3,2012-12-07,3.198
3,2012-12-14,3.168
3,2012-12-21,3.098
3,2012-12-28,3.108
3,2013-01-04,3.161
3,2013-01-11,3.243
3,2013-01-18,3.237
3,2013-01-25,3.227
3,2013-02-01,3.244
3,2013-02-08,3.417
3,2013-02-15,3.475
3,2013-02-22,3.597
3,2013-03-01,3.711
3,2013-03-08,3.658
3,2013-03-15,3.622
3,2013-03-22,3.611
3,2013-03-29,3.606
3,2013-04-05,3.583
3,2013-04-12,3.529
3,2013-04-19,3.451
3,2013-04-26,3.417
3,2013-05-03,3.386
3,2013-05-10,3.392
3,2013-05-17,3.454
3,2013-05-24,3.494
3,2013-05-31,3.466
3,2013-06-07,3.439
3,2013-06-14,3.431
3,2013-06-21,3.479
3,2013-06-28,3.495
3,2013-07-05,3.422
3,2013-07-12,3.4
3,2013-07-19,3.556
3,2013-07-26,3.62
4,2010-02-05,2.598
4,2010-02-12,2.573
4,2010-02-19,2.54
4,2010-02-26,2.59
4,2010-03-05,2.654
4,2010-03-12,2.704
4,2010-03-19,2.743
4,2010-03-26,2.752
4,2010-04-02,2.74
4,2010-04-09,2.773
4,2010-04-16,2.81
4,2010-04-23,2.805
4,2010-04-30,2.787
4,2010-05-07,2.836
4,2010-05-14,2.845
4,2010-05-21,2.82
4,2010-05-28,2.756
4,2010-06-04,2.701
4,2010-06-11,2.668
4,2010-06-18,2.635
4,2010-06-25,2.654
4,2010-07-02,2.668
4,2010-07-09,2.637
4,2010-07-16,2.621
4,2010-07-23,2.612
4,2010-07-30,2.65
4,2010-08-06,2.64
4,2010-08-13,2.698
4,2010-08-20,2.671
4,2010-08-27,2.621
4,2010-09-03,2.584
4,2010-09-10,2.574
