Store,Date,Temperature
1,2010-02-05,42.31
1,2010-02-12,38.51
1,2010-02-19,39.93
1,2010-02-26,46.63
1,2010-03-05,46.5
1,2010-03-12,57.79
1,2010-03-19,54.58
1,2010-03-26,51.45
1,2010-04-02,62.27
1,2010-04-09,65.86
1,2010-04-16,66.32
1,2010-04-23,64.84
1,2010-04-30,67.41
1,2010-05-07,72.55
1,2010-05-14,74.78
1,2010-05-21,76.44
1,2010-05-28,80.44
1,2010-06-04,80.69
1,2010-06-11,80.43
1,2010-06-18,84.11
1,2010-06-25,84.34
1,2010-07-02,80.91
1,2010-07-09,80.48
1,2010-07-16,83.15
1,2010-07-23,83.36
1,2010-07-30,81.84
1,2010-08-06,87.16
1,2010-08-13,87
1,2010-08-20,86.65
1,2010-08-27,85.22
1,2010-09-03,81.21
1,2010-09-10,78.69
1,2010-09-17,82.11
1,2010-09-24,80.94
1,2010-10-01,71.89
1,2010-10-08,63.93
1,2010-10-15,67.18
1,2010-10-22,69.86
1,2010-10-29,69.64
1,2010-11-05,58.74
1,2010-11-12,59.61
1,2010-11-19,51.41
1,2010-11-26,64.52
1,2010-12-03,49.27
1,2010-12-10,46.33
1,2010-12-17,49.84
1,2010-12-24,52.33
1,2010-12-31,48.43
1,2011-01-07,48.27
1,2011-01-14,35.4
1,2011-01-21,44.04
1,2011-01-28,43.83
1,2011-02-04,42.27
1,2011-02-11,36.39
1,2011-02-18,57.36
1,2011-02-25,62.9
1,2011-03-04,59.58
1,2011-03-11,53.56
1,2011-03-18,62.76
1,2011-03-25,69.97
1,2011-04-01,59.17
1,2011-04-08,67.84
1,2011-04-15,71.27
1,2011-04-22,72.99
1,2011-04-29,72.03
1,2011-05-06,64.61
1,2011-05-13,75.64
1,2011-05-20,67.63
1,2011-05-27,77.72
1,2011-06-03,83
1,2011-06-10,83.13
1,2011-06-17,86.41
1,2011-06-24,83.58
1,2011-07-01,85.55
1,2011-07-08,85.83
1,2011-07-15,88.54
1,2011-07-22,85.77
1,2011-07-29,86.83
1,2011-08-05,91.65
1,2011-08-12,90.76
1,2011-08-19,89.94
1,2011-08-26,87.96
1,2011-09-02,87.83
1,2011-09-09,76
